zone;production_type;power_capacity;power_capacity_turbine;power_capacity_pumping;power_capacity_injection;power_capacity_offtake;energy_capacity
italy;Batteries;0.00;0.00;0.00;19069.30;19069.30;122611.00
italy;Biofuel;0.00;0.00;0.00;0.00;0.00;0.00
italy;Demand Side Response capacity;2286.00;0.00;0.00;0.00;0.00;0.00
italy;Gas ;42631.69;0.00;0.00;0.00;0.00;0.00
italy;Hard Coal;0.00;0.00;0.00;0.00;0.00;0.00
italy;Hydro - Pondage;0.00;0.00;0.00;0.00;0.00;0.00
italy;Hydro - Pump Storage Closed Loop;0.00;4170.20;-4174.00;0.00;0.00;61200.00
italy;Hydro - Pump Storage Open Loop;0.00;3617.86;-2222.00;0.00;0.00;289990.00
italy;Hydro - Reservoir;0.00;8772.31;0.00;0.00;0.00;5567960.00
italy;Hydro - Run of River;0.00;7028.60;0.00;0.00;0.00;0.00
italy;Lignite;0.00;0.00;0.00;0.00;0.00;0.00
italy;Nuclear;0.00;0.00;0.00;0.00;0.00;0.00
italy;Oil;0.00;0.00;0.00;0.00;0.00;0.00
italy;Others non-renewable;8646.03;0.00;0.00;0.00;0.00;0.00
italy;Others renewable;4449.03;0.00;0.00;0.00;0.00;0.00
italy;Solar (Photovoltaic);89571.74;0.00;0.00;0.00;0.00;0.00
italy;Solar (Thermal);880.00;0.00;0.00;0.00;0.00;0.00
italy;Wind Offshore;12400.00;0.00;0.00;0.00;0.00;0.00
italy;Wind Onshore;19807.32;0.00;0.00;0.00;0.00;0.00
